original_date,description,actual_event_date,status,source_url,notes
2017-01-24,Executive orders to advance Keystone XL and Dakota Access pipelines,2017-01-24,VERIFIED,https://www.cnbc.com/2017/01/24/trump-to-advance-keystone-dakota-pipelines-with-executive-order-on-tuesday-nbc.html,Confirmed signed January 24 2017 in the Oval Office.
2017-03-28,Executive order to review and roll back Clean Power Plan,2017-03-28,VERIFIED,https://www.brookings.edu/articles/trumps-executive-order-on-energy-independence/,EO 13783 (Promoting Energy Independence) signed March 28 2017. Date confirmed.
2017-04-28,Executive order to expand offshore drilling,2017-04-28,VERIFIED,https://www.npr.org/sections/thetwo-way/2017/04/27/525959808/trump-to-sign-executive-order-on-offshore-drilling-and-marine-sanctuaries,Signed April 28 2017 (Friday). NPR headline says April 27 but that was the pre-announcement; signing was April 28.
2017-08-25,EO 13808 imposes financial sanctions on Venezuela/PDVSA,2017-08-25,VERIFIED,https://www.presidency.ucsb.edu/documents/executive-order-13808-imposing-additional-sanctions-with-respect-the-situation-venezuela,EO 13808 signed August 24 2017 but effective 12:01 AM EDT August 25 2017. Catalog uses August 25 which is the effective date and first market-relevant trading day (Friday). Acceptable for event study.
2017-10-13,Trump decertifies Iran nuclear deal but does not withdraw,2017-10-13,VERIFIED,https://en.wikipedia.org/wiki/United_States_withdrawal_from_the_Joint_Comprehensive_Plan_of_Action,Trump decertified JCPOA on October 13 2017. Date confirmed by multiple sources.
2017-12-22,Tax Cuts and Jobs Act signed; opens ANWR to drilling,2017-12-22,VERIFIED,https://trumpwhitehouse.archives.gov/briefings-statements/remarks-president-trump-signing-h-r-1-tax-cuts-jobs-bill-act-h-r-1370/,Signed December 22 2017. Senate passed Dec 20; House re-voted Dec 20; Trump signed Dec 22. Date confirmed.
2018-01-12,Trump waives Iran sanctions again signals last time,2018-01-12,VERIFIED,https://www.aljazeera.com/news/2018/1/12/trump-waives-iran-nuclear-sanctions-for-last-time,Confirmed January 12 2018. Trump stated this is a last chance and he will not waive again.
2018-04-20,Trump tweets Oil prices are artificially Very High blaming OPEC,2018-04-20,VERIFIED,https://www.cnbc.com/2018/04/20/trump-accused-opec-of-jacking-up-oil-prices-heres-what-he-means.html,Confirmed April 20 2018 (Friday). Tweet posted that morning.
2018-05-08,Trump withdraws from JCPOA reinstates Iran sanctions,2018-05-08,VERIFIED,https://trumpwhitehouse.archives.gov/briefings-statements/president-donald-j-trump-ending-united-states-participation-unacceptable-iran-deal/,Confirmed May 8 2018 announcement from the Diplomatic Reception Room.
2018-06-22,OPEC agrees to increase oil production at Vienna meeting,2018-06-22,VERIFIED,https://www.cnbc.com/2018/06/22/opec-ministers-strike-deal-on-oil-production-levels.html,Confirmed June 22 2018 (Friday). Agreement to nominally raise output by 1 million bpd.
2018-07-04,Trump tweets at OPEC: REDUCE PRICING NOW,2018-07-05,FIX_DATE,https://www.cbsnews.com/news/donald-trump-opec-is-doing-little-to-help-with-gas-prices/,"Tweet posted July 4 2018 but that is Independence Day and US markets were closed. For event study purposes the market reaction date should be July 5 2018 (next trading day). Change catalog date to 2018-07-05."
2018-09-20,Trump tweets OPEC monopoly must get prices down now,2018-09-20,VERIFIED,https://www.cnbc.com/2018/09/20/trump-says-opec-monopoly-must-get-prices-down.html,Confirmed September 20 2018 (Thursday). Oil prices dropped on the tweet.
2018-11-05,Iran oil sanctions take effect but 8 countries granted waivers,2018-11-05,VERIFIED,https://www.cnbc.com/2018/11/02/us-is-reportedly-granting-8-countries-iran-sanctions-waivers.html,"Waivers were first reported November 2 2018 (Friday) but sanctions formally took effect November 5 2018 (Monday). Catalog uses Nov 5 which is the effective date and also a trading day. Either date is defensible; Nov 5 is fine for event study."
2018-11-21,Trump tweets Thank you to Saudi Arabia for lower oil prices,2018-11-21,VERIFIED,https://www.cnbc.com/2018/11/21/trump-thanks-saudis-for-lower-oil-prices-amid-khashoggi-criticism.html,Confirmed November 21 2018 (Wednesday). Came day after Trump released statement standing by Saudi Arabia despite Khashoggi killing.
2018-12-07,OPEC+ agrees to cut production by 1.2 million bpd,2018-12-07,VERIFIED,https://www.cnbc.com/2018/12/07/opec-meeting-saudi-arabia-and-russia-look-to-impose-production-cuts.html,Confirmed December 7 2018 (Friday). OPEC to cut 800k bpd plus Russia/allies 400k bpd.
2019-01-28,Treasury designates PDVSA under EO 13850,2019-01-28,VERIFIED,https://home.treasury.gov/news/press-releases/sm594,Confirmed January 28 2019 (Monday). OFAC designated PDVSA blocking $7B in assets.
