date,type,description
2017-02-01,fomc,FOMC statement (Jan 31-Feb 1 meeting)
2017-02-03,nfp,Non-Farm Payrolls release (Jan 2017)
2017-03-03,nfp,Non-Farm Payrolls release (Feb 2017)
2017-03-15,fomc,FOMC statement with rate hike (Mar 14-15 meeting)
2017-04-07,nfp,Non-Farm Payrolls release (Mar 2017)
2017-04-28,gdp,BEA GDP advance estimate Q1 2017
2017-05-03,fomc,FOMC statement (May 2-3 meeting)
2017-05-05,nfp,Non-Farm Payrolls release (Apr 2017)
2017-05-25,opec_meeting,172nd OPEC Conference (Vienna)
2017-06-02,nfp,Non-Farm Payrolls release (May 2017)
2017-06-14,fomc,FOMC statement with rate hike (Jun 13-14 meeting)
2017-07-07,nfp,Non-Farm Payrolls release (Jun 2017)
2017-07-26,fomc,FOMC statement (Jul 25-26 meeting)
2017-07-28,gdp,BEA GDP advance estimate Q2 2017
2017-08-04,nfp,Non-Farm Payrolls release (Jul 2017)
2017-09-01,nfp,Non-Farm Payrolls release (Aug 2017)
2017-09-20,fomc,FOMC statement (Sep 19-20 meeting)
2017-10-06,nfp,Non-Farm Payrolls release (Sep 2017)
2017-10-27,gdp,BEA GDP advance estimate Q3 2017
2017-11-01,fomc,FOMC statement (Oct 31-Nov 1 meeting)
2017-11-03,nfp,Non-Farm Payrolls release (Oct 2017)
2017-11-30,opec_meeting,173rd OPEC Conference and 3rd OPEC+ Ministerial Meeting (Vienna)
2017-12-08,nfp,Non-Farm Payrolls release (Nov 2017)
2017-12-13,fomc,FOMC statement with rate hike (Dec 12-13 meeting)
2018-01-05,nfp,Non-Farm Payrolls release (Dec 2017)
2018-01-26,gdp,BEA GDP advance estimate Q4 2017
2018-01-31,fomc,FOMC statement (Jan 30-31 meeting)
2018-02-02,nfp,Non-Farm Payrolls release (Jan 2018)
2018-03-09,nfp,Non-Farm Payrolls release (Feb 2018)
2018-03-21,fomc,FOMC statement with rate hike (Mar 20-21 meeting)
2018-04-06,nfp,Non-Farm Payrolls release (Mar 2018)
2018-04-27,gdp,BEA GDP advance estimate Q1 2018
2018-05-02,fomc,FOMC statement (May 1-2 meeting)
2018-05-04,nfp,Non-Farm Payrolls release (Apr 2018)
2018-06-01,nfp,Non-Farm Payrolls release (May 2018)
2018-06-13,fomc,FOMC statement with rate hike (Jun 12-13 meeting)
2018-06-22,opec_meeting,174th OPEC Conference (Vienna); agreed to increase output
2018-07-06,nfp,Non-Farm Payrolls release (Jun 2018)
2018-07-27,gdp,BEA GDP advance estimate Q2 2018
2018-08-01,fomc,FOMC statement (Jul 31-Aug 1 meeting)
2018-08-03,nfp,Non-Farm Payrolls release (Jul 2018)
2018-09-07,nfp,Non-Farm Payrolls release (Aug 2018)
2018-09-26,fomc,FOMC statement with rate hike (Sep 25-26 meeting)
2018-10-05,nfp,Non-Farm Payrolls release (Sep 2018)
2018-10-26,gdp,BEA GDP advance estimate Q3 2018
2018-11-02,nfp,Non-Farm Payrolls release (Oct 2018)
2018-11-08,fomc,FOMC statement (Nov 7-8 meeting)
2018-12-06,opec_meeting,175th OPEC Conference (Vienna); agreed 1.2M bpd cut
2018-12-07,nfp,Non-Farm Payrolls release (Nov 2018)
2018-12-19,fomc,FOMC statement with rate hike (Dec 18-19 meeting)
2019-01-04,nfp,Non-Farm Payrolls release (Dec 2018)
2019-01-30,fomc,FOMC statement (Jan 29-30 meeting)
2019-02-01,nfp,Non-Farm Payrolls release (Jan 2019)
2019-03-08,nfp,Non-Farm Payrolls release (Feb 2019)
2019-03-20,fomc,FOMC statement (Mar 19-20 meeting)
2019-03-28,gdp,BEA GDP advance estimate Q4 2018 (delayed from Jan due to govt shutdown)
2019-04-05,nfp,Non-Farm Payrolls release (Mar 2019)
2019-04-26,gdp,BEA GDP advance estimate Q1 2019
2019-05-01,fomc,FOMC statement (Apr 30-May 1 meeting)
2019-05-03,nfp,Non-Farm Payrolls release (Apr 2019)
2019-06-07,nfp,Non-Farm Payrolls release (May 2019)
2019-06-19,fomc,FOMC statement (Jun 18-19 meeting)
2019-07-01,opec_meeting,176th OPEC Conference (Vienna)
2019-07-05,nfp,Non-Farm Payrolls release (Jun 2019)
2019-07-26,gdp,BEA GDP advance estimate Q2 2019
2019-07-31,fomc,FOMC statement with rate cut (Jul 30-31 meeting)
2019-08-02,nfp,Non-Farm Payrolls release (Jul 2019)
2019-09-06,nfp,Non-Farm Payrolls release (Aug 2019)
2019-09-18,fomc,FOMC statement with rate cut (Sep 17-18 meeting)
2019-10-04,nfp,Non-Farm Payrolls release (Sep 2019)
2019-10-30,fomc,FOMC statement with rate cut (Oct 29-30 meeting)
2019-10-30,gdp,BEA GDP advance estimate Q3 2019
2019-11-01,nfp,Non-Farm Payrolls release (Oct 2019)
2019-12-05,opec_meeting,177th OPEC Conference and 7th OPEC+ Ministerial Meeting (Vienna)
2019-12-06,nfp,Non-Farm Payrolls release (Nov 2019)
2019-12-11,fomc,FOMC statement (Dec 10-11 meeting)
2020-01-10,nfp,Non-Farm Payrolls release (Dec 2019)
2020-01-29,fomc,FOMC statement (Jan 28-29 meeting)
2020-01-30,gdp,BEA GDP advance estimate Q4 2019
